"sample_nr","C14_age","C14_age_sig"
59206,7362,27
54761,7014,34
54762,7048,32
54765,7096,34
54768,6997,32
54771,7058,33
54774,7041,32
54775,6925,32
54776,6409,32
54778,6916,34
54779,5510,30
54780,6998,35
54781,6871,35
61860,2222,21
61850,2224,17
61852,2271,17
61863,2398,21
61853,2466,17
61865,2535,21
61847,3153,26
61862,5390,24
61848,6363,19
61858,6639,26
61849,6827,21
61866,6836,27
61845,6874,27
61859,6902,27
61846,6908,21
61856,6916,27
61851,6918,22
61861,6929,27
61857,6956,27
61855,6963,27
61854,6984,26
61864,15187,102
